# 二简词
bf	不要
ei	这个
eia	这里
eii	专业 整个
eio	正常
eiu	直接 掌握
eiv	这些 整体
eo	知道
eoa	中心
eoi	只是
eou	之前 正义
eov	这次
eu	这么 准备
eua	着急
eui	真的
euo	这都
euu	之后
euv	这种
ev	这样 正在
eva	找到
evi	只要 主要
evu	只有
fa	已经
faa	纷纷 预测
fai	房子 样子
fao	否则 游戏
fau	一边
fav	发展 一张
fi	一个
fia	意思
fii	有个
fio	非常 一位
fiu	优势
fiv	一些
fo	因为
foa	应该
foi	也是
foo	方案 一定
fou	以为
fov	一次
fu	以后
fua	服务 以外
fui	方向 有的
fuo	一直
fuu	一般
fuv	一种
fv	一样
fva	一切
fvi	一下
fvo	发起 一起
fvu	拥有
fvv	发现 一天
ga	更加
gaa	高级
gai	过了
gao	关注
gau	更好
gav	公司
gi	工作
gia	刚刚
gii	赶紧
gio	关键
giu	根据
giv	观点
go	感觉
goa	告诉
goi	更是
goo	国家
gou	跟着
gov	改变
gu	关系
gua	更多
gui	各自
guo	感受
guu	过后
guv	各种
gv	过去
gva	感到
gvi	根本
gvo	过来
gvu	尴尬
gvv	关于
ha	还没
haa	缓缓
hai	好了
hao	还能
hau	还好
hav	喝酒
hi	好像
hia	后果
hii	行业
hio	黄金
hiu	很少
hiv	还会
ho	还是
hoa	好吧
hoi	会是
hoo	回家
hou	呼吸
hov	何况
hu	好的
hua	很多
hui	浑身
huo	或者
huu	还行
huv	合适
hv	还有
hva	回到
hvi	还要
hvo	回来
hvu	后面
hvv	后天
ja	继续 为了
jaa	网络
jao	绝对 温柔
jau	就好 无力
jav	记录 无法
ji	结果 我们
jia	家里 位置
jii	几个 五个
jio	经常 微信
jiu	就像 文件
jiv	就会 晚上
jo	就是 问题
joa	建议 忘记
joi	及时 温暖
joo	决定 晚安
jou	完美
jov	解决
ju	觉得 我的
jua	竟然
jui	阶段
juo	进入
juu	进行 往往
juv	就算 微笑
jv	今天 完成
jva	计划 无比
jvi	就要 无聊
jvo	未来
jvu	就有 外面
jvv	唯一
ka	可以
kaa	看书
kai	看出
kao	可能
kau	开始
kav	夸张
ki	考虑
kia	看见
kii	刻苦
kio	块钱
kiu	科技
kiv	快点
ko	可是
koa	开心
koi	空间
koo	肯定
kou	看着
kov	渴望
ku	控制
kua	快乐
kui	空白
kuo	可爱
kuu	靠近
kuv	空气
kv	开车
kva	看到
kvi	快速
kvo	看来
kvu	看成
kvv	款式
la	例如
laa	连续
lai	来了
lao	练习
lau	良好
lav	立即
li	两个
lia	类似
lii	令人
lio	两位
liu	老师
liv	联合
lo	老是
loa	理论
loi	力量
loo	厉害
lou	来着
lov	立刻
lu	了解
lua	联系
lui	来自
luo	老爸
luu	懒得
luv	力气
lv	里面
lva	来到
lvi	留下
lvo	领域
lvu	老板
lvv	离开
ma	妈妈
maa	梦乡
mai	妹子
mao	面对
mau	美女
mav	勉强
mi	每个
mia	默默
mii	某个
mio	没错
miu	摸摸
miv	马上
mo	目前
moa	名叫
moi	明显
moo	慢慢
mou	面前
mov	每次
mu	明白
mua	没用
mui	目的
muo	摸索
muu	矛盾
muv	每种
mv	没有
mva	密切
mvi	没事
mvo	描述
mvu	明确
mvv	每天
na	能力
naa	年纪
nai	脑子
nao	难以
nau	你好
nav	农民
ni	你们
nia	那里
nii	那个
nio	那位
niu	难看
niv	那些
no	难道
noa	耐心
noi	那是
noo	难怪
nou	难道
nov	内部
nu	那么
nua	能够
nui	你的
nuo	难受
nuu	难得
nuv	那种
nv	那样
nva	拿到
nvi	难过
nvo	拿来
nvu	能有
nvv	那天
pa	普通
paa	婆婆
pai	牌子
pao	平淡
pau	旁边
pav	啤酒
pi	配合
pia	苹果
pii	评价
pio	平常
piu	拍摄
piv	拼命
po	漂亮
poa	评论
poi	拍照
poo	便宜
pou	判断
pov	片刻
pu	品牌
pua	排名
pui	片段
puo	评分
puu	平衡
puv	皮肤
pv	朋友
pva	跑到
pvi	匹配
pvo	平均
pvu	排列
pvv	平静
qaa	情绪
qai	妻子
qav	去那 而已
qi	其他 而且
qia	其中
qiv	安全
qo	其实 而是
qoa	区别
qoi	请问
qoo	确实
qov	情况
quo	全都
quu	期待
quv	青年
qva	轻轻
qvo	起来
qvu	前面
qvv	清楚 安静
ra	人民
raa	热水
rai	日子
rao	人流
rau	人力
rav	人群
ri	如果
ria	如同
rii	让人
rio	如今
riu	软件
riv	任何
ro	认为
roa	认识
roi	容易
roo	人家
rou	人数
rov	任意
ru	然后
rua	任务
rui	热血
ruo	认真
ruu	日后
ruv	人生
rv	然而
rva	柔软
rvi	人才
rvo	认可
rvu	热烈
rvv	让开
sa	所以
saa	送给
sai	算了
sao	所能
sau	散发
sav	随即
si	随便
sia	送回
sii	四个
sio	思念
siu	随手
siv	宿舍
so	随时
soa	所谓
soi	算是
soo	锁定
sou	随着
sov	速度
su	虽然
sua	四周
sui	碎片
suo	似乎
suu	素质
suv	三种
sv	所有
sva	送到
svi	私下
svo	送来
svu	司机
svv	三天
ta	提出
taa	体验
tai	太阳
tao	天赋
tau	头发
tav	淘汰
ti	他们
tia	听见
tii	推荐
tio	她们
tiu	条件
tiv	停止
to	特别
toa	听说
toi	同时
too	天空
tou	提前
tov	同意
tu	他的
tua	突然
tui	她的
tuo	头脑
tuu	特征
tuv	通知
tv	统一
tva	听到
tvi	通过
tvo	同样
tvu	特殊
tvv	天天
waa	成绩
wai	除了 充满
wou	成为
wov	重新
wua	吃饭
wui	冲向
wuo	充分
wvo	出来
wvv	出现
xa	喜欢
xaa	系统
xai	行了
xao	学习
xau	幸好
xia	效果
xii	羡慕
xio	相信
xiu	选择
xoa	谢谢
xoi	像是
xoo	心情
xou	想着
xov	希望
xu	许多
xua	想象
xui	休息
xuo	享受
xuu	显得
xuv	下午
xv	现在
xva	想到
xvi	需要
xvo	下来
xvu	下面
ya	生活
yaa	实验
yai	身子
yao	失败
yau	实力
yav	说法
yi	时候
yia	世界
yii	收获
yio	时光
yiu	数据
yiv	身上
yo	时间
yoa	说话
yoi	数量
yoo	事情
you	说着
yov	声音
yu	什么
yua	舒服
yui	是的
yuo	十分
yuu	稍微
yuv	上午
yv	手机
yva	收到
yvi	剩下
yvo	上来
yvu	上面
yvv	属于
za	自己
zaa	最终
zai	做了
zao	足以
zau	最好
zav	增强
zi	自由
zia	再见
zii	作业
zio	咱们
ziu	责任
ziv	早上
zo	总是
zoa	再说
zoi	暂时
zoo	作品
zou	作为
zov	最新
zu	怎么
zua	作用
zui	走向
zuo	最爱
zuu	最后
zuv	总算
zv	咋样
zva	做到
zvi	坐下
zvo	再来
zvu	坐在
zvv	自动
# 单字
b	不
bb	别
bbo	憋
bbu	癿
bc	表
bca	婊
bci	彪
bco	裱
bcu	膘
bcv	标
bd	宾
bda	滨
bdi	摈
bdo	斌
bdu	膑
bdv	彬
be	被
bea	贝
bei	北
beo	呗
beu	备
bev	杯
bg	变
bga	边
bgi	便
bgo	遍
bgu	笾
bgv	鞭
bh	白
bha	败
bhi	摆
bho	呗
bhu	稗
bhv	百
bj	办
bja	绊
bji	搬
bjo	半
bju	版
bjv	班
bk	并
bka	屏
bki	摒
bko	病
bku	兵
bkv	柄
bl	部
bli	步
blo	补
blu	簿
blv	布
bn	把
bna	巴
bni	拔
bno	吧
bnu	八
bnv	霸
bp	比
bpa	避
bpi	蔽
bpo	必
bpu	笔
bpv	毕
bqa	绑
bqi	镑
bqo	谤
bqu	膀
bqv	邦
br	蹦
bra	绷
bri	崩
bro	迸
brv	甭
bw	拨
bwa	波
bwi	播
bwo	跛
bwu	博
bwv	玻
bya	剥
byi	保
byo	宝
byu	包
byv	雹
bz	本
bza	畚
bzi	苯
bzu	笨
bzv	奔
c	才
cd	错
cdi	搓
cdo	痤
cdu	矬
cdv	磋
cf	催
cfa	翠
cfi	崔
cfo	啐
cfu	脆
cfv	璀
ch	菜
cha	财
chi	蔡
cho	踩
chu	采
chv	材
cj	参
cja	骖
cji	餐
cjo	惨
cju	䅟
cjv	残
cl	粗
cli	促
clo	蹴
clu	簇
clv	醋
cmi	攒
cmo	蹿
cmu	篡
cn	擦
cni	拆
cno	嚓
cp	次
cpa	赐
cpi	此
cpo	词
cpu	辞
cpv	刺
cqa	沧
cqi	仓
cqu	舱
cqv	臧
cr	曾
cra	层
cri	嶒
cro	蹭
cs	测
csi	侧
cso	恻
csu	册
csv	厕
ct	存
cta	皴
cto	忖
ctv	村
cw	从
cwa	淙
cwi	丛
cwo	悰
cwu	匆
cwv	聪
cxu	腠
cxv	辏
cy	草
cya	漕
cyi	操
cyo	糙
cyu	艚
cyv	曹
cz	岑
cza	涔
d	的
dc	掉
dca	刁
dci	钓
dco	调
dcu	雕
dcv	碉
dd	多
dda	堕
ddi	铎
ddo	踱
ddu	朵
ddv	夺
de	得
deo	嘚
deu	得
df	对
dfa	队
dfi	镦
dfo	兑
dfu	追
dfv	堆
dg	点
dga	殿
dgi	电
dgo	店
dgu	颠
dgv	碘
dh	代
dha	逮
dhi	袋
dho	呆
dhu	待
dhv	带
dj	但
dja	弹
dji	担
djo	单
dju	丹
djv	耽
dk	定
dki	盯
dko	订
dku	腚
dkv	顶
dl	读
dla	渡
dli	督
dlo	度
dlu	独
dlv	毒
dm	短
dma	缎
dmi	锻
dmo	断
dmu	段
dmv	椴
dna	妲
dni	打
dno	瘩
dnu	答
dnv	达
dp	地
dpa	滴
dpi	低
dpo	底
dpu	第
dpv	堤
dq	当
dqa	凼
dqi	党
dqo	裆
dqu	筜
dqv	档
dr	等
dra	登
dri	瞪
dro	灯
drv	磴
dsi	锝
dsu	德
dsv	地
dt	顿
dta	沌
dti	钝
dto	吨
dtv	礅
dw	动
dwa	洞
dwi	董
dwo	懂
dwu	冬
dwv	东
dxa	陡
dxi	抖 铥
dxo	斗
dxu	兜
dxv	豆
dy	到
dya	刀
dyi	倒
dyo	道
dyu	岛
dyv	纛
dzi	扽
e	这
ebi	拽
ebv	转
ed	桌
eda	浊
edi	捉
edo	着
edv	酌
ef	追
efa	坠
efi	锥
efo	惴
efv	赘
egi	挝
egu	爪
egv	髽
eha	翟
ehi	摘
eho	宅
ehu	祭
ej	占
eja	展
eji	战
ejo	站
eju	詹
ejv	斩
ek	装
eka	奘
eki	撞
eko	状
ekv	桩
el	主
ela	注
eli	住
elo	祝
elu	朱
elv	逐
em	转
ema	赚
emi	撰
emo	啭
emu	篆
emv	专
eno	炸
env	札
ep	之
epa	治
epi	指
epo	只
epu	知
epv	至
eq	张
eqa	涨
eqi	掌
eqo	章
equ	胀
eqv	丈
er	正
era	烝
eri	挣
ero	证
eru	争
erv	整
es	着
esa	浙
esi	折
eso	遮
esu	者
esv	辙
eto	准
etu	肫
ew	中
ewa	终
ewi	众
ewo	衷
ewu	种
ewv	柊
ex	周
exa	洲
exi	胄
exo	州
exu	皱
ey	找
eya	召
eyi	招
eyo	照
eyu	朝
eyv	赵
ez	真
eza	阵
ezi	镇
ezo	诊
ezu	朕
ezv	震
f	一
fd	因
fda	引
fdi	银
fdo	音
fdu	印
fdv	垠
fe	飞
fea	费
fei	非
feo	废
feu	肥
fev	匪
fha	约
fhi	钥
fho	阅
fhu	乐
fhv	越
fja	泛 沿
fji	范 岩
fjo	烦 言
fju	饭 延
fjv	梵 研
fk	应
fka	盈
fki	英
fko	影
fku	迎
fkv	硬
fl	服 与
fla	妇 预
fli	付 余
flo	府 语
flu	复 鱼
flv	副 于
fma	院
fmi	园
fmo	员
fmu	怨
fmv	原
fna	法 涯
fni	罚 押
fno	呀
fnu	乏 衙
fnv	牙
fp	以
fpa	已
fpi	依
fpo	亦
fpu	疑
fpv	医
fqa	防 洋
fqi	仿 扬
fqo	方 养
fqu	彷 氧
fqv	坊 杨
fra	缝
fri	峰
fro	疯
fru	凤
frv	丰
fs	也
fsa	液
fsi	业
fso	夜
fsu	爷
fsv	页
ft	云
fta	允
fti	蕴
fto	晕
ftu	匀
ftv	运
fw	用
fwa	勇
fwi	拥
fwo	永
fwu	臃
fwv	墉
fxa	又
fxi	由
fxo	忧
fxu	犹
fxv	否 右
fy	要
fya	妖
fyi	药
fyo	咬
fyu	腰
fyv	瑶
fz	分
fza	纷
fzi	份
fzo	粉
fzu	氛
fzv	奋
g	个
gb	乖
gba	夬
gbi	拐
gbo	怪
gd	过
gda	涡
gdi	国
gdo	郭
gdv	聒
ge	给
gf	规
gfa	癸
gfi	归
gfo	跪
gfu	鬼
gfv	桂
gg	挂
ggi	括
ggo	寡
ggu	刮
ggv	卦
gh	该
gha	改
ghi	钙
gho	盖
ghu	胲
ghv	概
gj	干
gja	敢
gji	擀
gjo	赣
gju	肝
gjv	感
gka	潢
gko	广
gku	逛
gkv	桄
gl	古
gla	姑
gli	固
glo	雇
glu	故
glv	顾
gm	关
gma	观
gmi	鹳
gmo	官
gmu	管
gmv	棺
gn	嘎
gna	尕
gni	伽
gnu	旮
gnv	尬
gq	刚
gqa	港
gqi	钢
gqo	戆
gqu	缸
gqv	杠
gr	更
gra	颈
gro	庚
gru	鲠
grv	梗
gs	各
gsa	隔
gsi	葛
gso	割 噶
gsu	胳
gsv	哥
gta	滚
gto	衮
gtu	鲧
gtv	棍
gw	共
gwa	弓
gwi	供
gwo	宫
gwu	公
gwv	工
gx	够
gxa	购
gxi	钩
gxo	诟
gxu	狗
gxv	构
gy	高
gya	缟
gyi	搞
gyo	糕
gyu	告
gyv	槁
gz	跟
gza	艮
gzi	茛
gzo	哏
gzv	根
h	和
hb	坏
hba	淮
hbo	怀
hbu	徊
hbv	槐
hd	或
hda	活
hdi	获
hdo	火
hdv	霍
he	黑
heo	嘿
hf	会
hfa	汇
hfi	回
hfo	恢
hfu	毁
hfv	灰
hg	话
hga	滑
hgi	化
hgo	哗
hgu	猾
hgv	划
hh	还
hha	海
hhi	骸
hho	害
hhu	氦
hhv	醢
hj	汉
hja	汗
hji	含
hjo	喊
hju	韩
hjv	酣
hka	隍
hki	荒
hko	慌
hku	皇
hl	胡
hla	湖
hli	护
hlo	户
hlu	乎
hlv	互
hm	换
hma	缓
hmi	患
hmo	唤
hmu	奂
hmv	还
hni	蛤
hq	行
hqa	沆
hqo	吭
hqu	航
hqv	杭
hr	横
hra	姮
hri	蘅
hro	哼
hru	衡
hrv	珩
hs	合 哈
hsa	河
hsi	何
hso	喝 呵
hsu	禾
hsv	核
hta	混
hti	荤
htu	昏
htv	魂
hw	红
hwa	洪
hwi	虹
hwo	宏
hwu	訇
hwv	轰
hx	后
hxi	候
hxo	喉
hxu	猴
hxv	厚
hy	好
hya	浩
hyi	蒿
hyo	号
hyu	皓
hyv	耗
hz	很
hzo	恨
hzu	狠
j	就 我
jb	接
jba	姐
jbi	节
jbo	竭
jbu	解
jbv	杰
jca	缴
jci	焦
jco	交
jcu	教
jcv	较
jd	进
jda	尽
jdi	金
jdo	谨
jdu	近
jdv	禁
je	为
jea	维
jei	位
jeo	味
jeu	委
jev	未
jf	将
jfa	江
jfi	蒋
jfo	讲
jfu	鳉
jfv	匠
jg	间
jga	建
jgi	见
jgo	减
jgu	简
jgv	检
jh	决 外
jha	绝
jhi	崴
jho	觉
jhu	角
jhv	厥 歪
jj	完
jja	湾
jji	挽
jjo	晚
jju	丸
jjv	万
jk	经
jka	劲
jki	警
jko	竟
jku	径
jkv	静
jl	局 无
jla	居 屋
jli	据 伍
jlo	举 误
jlu	句 物
jlv	巨 五
jma	绢
jmi	捐
jmo	眷
jmu	狷
jmv	鄄
jna	娃
jp	即
jpa	既
jpi	技
jpo	记
jpu	几
jpv	机
jqa	汪
jqi	网
jqo	忘
jqu	往
jqv	王
jr	翁
jra	滃
jri	蓊
jro	嗡
jru	瓮
js	加
jsa	架
jsi	假
jso	家
jsu	胛
jsv	夹
jt	卷 均
jti	俊
jto	军
jtu	龟
jw	握
jwa	沃
jwi	倭
jwo	窝
jwu	斡
jwv	卧
jx	久
jxa	酒
jxi	旧
jxo	究
jxu	九
jxv	救
jya	泂
jyi	迥
jyo	窘
jyu	颎
jyv	坰
jz	问
jza	温
jzi	蚊
jzo	文
jzu	稳
jzv	雯
k	可
kb	快
kba	浍
kbi	会
kbo	哙
kbu	魁 筷
kbv	块
kd	扩
kdi	括
kdo	阔
kdu	适
kdv	栝
kf	亏
kfa	溃
kfi	葵
kfo	愧
kfv	奎
kg	夸
kga	姱
kgi	挎
kgo	跨
kgu	胯
kgv	垮
kh	开
khi	凯
kho	慨
khv	楷
kj	看
kji	侃
kjo	阚
kju	衎
kjv	堪
kka	纩
kki	眶
kko	旷
kku	狂
kkv	框
kl	哭
kla	绔
kli	苦
klo	库
klv	酷
km	宽
kmi	髋
kmv	款
kn	卡
kno	咖
knu	胩
kq	抗
kqi	扛
kqo	康
kqu	𩾌
kqv	𡐓
kr	坑
kri	铿
kro	吭
krv	硁
ks	克
ksa	渴
ksi	颗
kso	客
ksu	科
ksv	壳
kt	困
kta	婫
kti	捆
kto	昆
ktu	鲲
ktv	坤
kw	空
kwa	孔
kwi	控
kwu	箜
kwv	恐
kx	口
kxa	𫸩
kxi	扣
kxo	叩
kxu	筘
ky	靠
kya	尻
kyi	拷
kyo	烤
kyu	考
kyv	栲
kz	肯
kza	恳
kzi	龈
kzo	啃
kzv	硍
l	了
lbo	咧
lbu	猎
lbv	列
lc	聊
lca	辽
lci	僚
lco	料
lcu	獠
lcv	尥
ld	林 落
lda	淋
ldi	临 罗
ldo	麟
ldu	鳞
ldv	琳
le	类
lea	泪
lei	累
leo	嘞
leu	肋
lev	勒
lf	两
lfa	梁
lfi	俩
lfo	量
lfu	魉
lfv	辆
lg	连
lga	练
lgi	令 莲
lgo	恋
lgu	脸
lgv	零 联
lh	来
lha	濑
lho	癞
lhu	籁
lhv	赖
lj	兰
lja	滥
lji	蓝
ljo	烂
lju	篮
ljv	栏
lk	领
lka	灵
lko	另
lku	鲮
ll	路
lla	陆 绿
lli	卢
llo	炉
llu	鲁
llv	露
lm	乱
lma	滦
lmo	率 峦
lmu	律 卵
lmv	榈
lna	邋
lno	啦
lnu	腊
lnv	垃
lp	里
lpa	力
lpi	例
lpo	立
lpu	利
lpv	理
lq	浪
lqi	螂
lqo	朗
lqu	狼
lqv	琅
lr	冷
lri	崚
lro	愣
lrv	棱
ls	乐
lsa	泐
lsi	仂 俩
lti	略
lto	论
ltv	轮
lw	龙
lwa	隆
lwi	拢
lwo	咙
lwu	笼
lwv	垄
lx	楼 刘
lxa	漏 流
lxi	搂 镏
lxo	六
lxu	留
lxv	柳
ly	老
lya	姥
lyi	劳
lyo	牢
lyv	酪
m	没
mbu	篾
mbv	灭
mc	秒
mca	妙
mci	苗
mco	庙
mcu	邈
mcv	杪
md	民
mda	泯
mdi	皿
mdo	闽
mdu	敏
mdv	玟
me	每
mea	妹
mei	嵋
meo	美
meu	魅
mev	梅
mg	面
mga	绵
mgi	眠
mgo	黾
mgu	免
mgv	棉
mh	买
mhi	荬
mho	唛
mhu	卖
mhv	埋
mj	满
mja	漫
mji	瞒 幕
mjo	慢
mju	馒
mjv	埋
mk	名
mka	溟
mki	命
mko	明
mkv	酩
ml	目
mla	母
mli	莫
mlo	亩
mlu	牧
mlv	木
mn	吗
mna	妈
mni	抹
mno	嘛
mnu	犸
mnv	码
mp	米
mpa	弥
mpi	眯
mpo	密
mpu	秘
mpv	醚
mq	忙
mqa	漭
mqi	茫
mqo	盲
mqu	牤
mqv	硭
mr	梦
mra	孟
mri	蒙
mro	盟
mru	猛
mrv	檬
ms	么
mso	麽
msv	末
mw	摸
mwa	漠
mwo	魔
mwu	膜
mwv	末
mxa	牟 缪
mxi	眸
mxo	谋
my	毛
mya	矛
myi	冒
myo	袤
myu	贸
myv	髦
mz	们
mza	懑
mzi	扪
mzo	门
mzv	鞔
n	你
nb	捏
nba	涅
nbi	孽
nbo	蹑
nbu	臬
nbv	聂
nc	鸟
nca	尿
nci	茑
ncu	袅
nd	您
nda	娜
ndi	恁 挪
ndo	诺
ne	内
nea	那
neo	哪
neu	馁
nf	娘
nfv	酿
ng	年
ngi	念
ngo	粘
ngu	黏
ngv	廿
nh	乃
nha	奶
nhu	氖
nhv	耐
nj	难
nja	婻
nji	男
njo	喃
nju	南
njv	楠
nk	宁 泥
nka	泞
nki	拧
nko	凝
nku	狞
nkv	柠
nl	怒
nla	奴
nli	傉
nlo	呶
nlu	笯
nm	女 暖
nmu	衄
nmv	恧
nna	纳
nni	拿
nnu	南
npa	尼
npi	拟
npo	呢
npu	腻
npv	匿
nqi	攮
nqo	囔
nqu	馕
nqv	囊
nr	能
ns	呢 那
nso	讷 哪
nti	虐
nto	疟
nw	弄
nwa	浓
nwi	侬
nwo	农
nwu	脓
nwv	𬪩
nx	牛
nxa	妞
nxi	扭
nxo	忸
nxu	狃
nxv	杻
ny	闹
nya	淖
nyi	挠
nyo	恼
nyu	脑
nyv	孬
nz	嫩
nza	媆
nzi	恁
p	平
pb	撇
pbi	苤
pbo	瞥
pbu	氕
pc	票
pca	漂
pci	瞟
pco	嘌
pcu	膘
pcv	飘
pd	品
pda	姘
pdi	拼
pdu	贫
pdv	聘
pe	配
pea	陪
pei	佩
peo	呸
peu	胚
pev	培
pg	片
pga	骗
pgi	偏
pgo	翩
pgu	篇
pgv	楩
ph	排
pha	派
phi	拍
pho	哌
phu	牌
pj	盘
pja	潘
pji	盼
pjo	判
pju	磐
pjv	攀
pk	凭
pka	屏
pki	萍
pko	瓶
pku	乒
pkv	坪
pl	普
pla	浦
pli	扑
plo	谱
plu	脯
plv	朴
pn	怕
pna	潖
pni	帕
pno	啪
pnu	爬
pnv	琶
pp	批
ppa	皮
ppi	披
ppo	疲
ppu	脾
ppv	匹
pqa	滂
pqi	螃
pqo	庞
pqu	胖
pqv	磅
pr	碰
pra	澎
pri	捧
pro	烹
pru	朋
prv	棚
pw	破
pwa	婆
pwi	钋
pwo	跛
pwu	迫
pwv	坡
pxv	垺
pya	泡
pyi	抛
pyo	炮
pyu	刨
pyv	匏
pz	盆
pza	湓
pzo	喷
q	去 而
qb	且
qbi	茄
qbo	窃
qbu	箧
qbv	切
qc	桥
qca	缲
qci	瞧
qco	悄
qcu	乔
qcv	巧
qd	亲
qda	沁
qdi	侵
qdo	寝
qdv	秦
qe	二
qea	洱
qei	铒
qeo	咡
qeu	儿
qev	耳
qf	强
qfa	戕
qfi	抢
qfo	呛
qfu	腔
qfv	枪
qg	前
qga	潜
qgi	钱
qgo	谦
qgu	千
qgv	牵
qh	却
qha	隘
qhi	艾
qho	哀
qhu	缺 爱
qhv	确
qj	安
qji	按
qjo	案
qju	氨
qjv	鞍
qk	请
qka	清
qki	倾
qko	情
qku	卿
qkv	轻
ql	区
qla	屈
qli	曲
qlo	祛
qlu	躯
qlv	取
qm	全
qma	劝
qmi	圈
qmo	券
qmu	泉
qmv	权
qna	阿
qno	啊
qp	起
qpa	汽
qpi	企
qpo	齐
qpu	气
qpv	其
qq	昂
qqi	盎
qqu	肮
qs	恰 额
qsa	洽 阿
qsi	卡 俄
qso	袷 呃
qsu	饿
qsv	恶
qt	群
qta	逡
qti	囷
qw	哦
qx	求
qxa	泅
qxi	囚
qxo	酋
qxu	秋
qxv	球 欧
qy	穷 奥
qya	嬛 澳
qyi	茕 傲
qyo	穹 噢
qyu	筇 翱
qyv	琼 熬
qz	恩
qzi	摁
r	人
rd	若
rda	弱
rdi	偌
rdu	箬
rf	瑞
rfa	汭
rfi	锐
rfv	枘
rj	然
rja	染
rji	冉
rjo	燃
rjv	髯
rl	如
rla	汝
rli	儒
rlo	褥
rlu	入
rlv	辱
rma	阮
rmv	堧
rp	日
rpa	驲
rqa	瀼
rqi	攘
rqo	嚷
rqu	穰
rqv	壤
rr	仍
rri	扔
rsi	惹
rso	喏
rt	润
rto	闰
rw	容
rwa	溶
rwi	荣
rwo	熔
rwv	融
rxa	柔
rxi	揉
rxo	蹂
rxv	鞣
ry	绕
rya	娆
ryi	扰
ryu	饶
ryv	桡
rz	任
rza	忍
rzi	仁
rzo	认
rzu	壬
rzv	韧
s	三
sd	所
sdi	锁
sdo	嗦
sdu	索
sdv	梭
sf	随
sfa	隋
sfi	岁
sfo	虽
sfu	穗
sfv	碎
sh	赛
shi	思
sho	塞
shu	腮
sj	散
sja	叁
sji	伞
sjo	糁
sju	馓
sl	苏
sla	肃 缩
sli	俗
slo	诉
slu	稣
slv	速
smi	蒜
smu	狻
smv	酸
sn	撒
sna	洒
sni	萨
sno	飒
snu	脎
snv	卅
sp	四
spa	司
spi	似
spo	嗣
spu	私
spv	死
sqa	颡
sqi	搡
sqo	嗓
squ	丧
sqv	磉
sr	僧
ss	色
ssa	涩
ssi	铯
sso	塞
ssu	啬
ssv	瑟
st	孙
sti	损
stu	笋
stv	榫
sw	送
swa	淞
swi	耸
swo	宋
swu	颂
swv	松
sxa	溲
sxi	薮
sxo	嗖
sxu	馊
sy	扫
sya	骚
syi	搔
syo	燥
syu	臊
syv	埽
sz	森
t	他
tba	贴
tbv	餮
tc	条
tca	迢
tci	挑
tco	调
tcu	笤
tcv	髫
td	托
tda	驮
tdi	拖
tdo	唾
tdu	脱
tdv	椭
tev	忒
tf	推
tfa	退
tfi	蜕
tfo	褪
tfu	腿
tfv	忒
tg	天
tga	添
tgi	田
tgo	恬
tgu	甜
tgv	填
th	太
tha	台
thi	抬
tho	跆
thu	胎
thv	态
tj	谈
tja	弹
tji	探
tjo	叹
tju	毯
tjv	坦
tk	听
tka	汀
tki	停
tko	庭
tku	艇
tkv	厅
tl	图
tla	涂
tli	途
tlo	吐
tlu	徒
tlv	土
tm	团
tma	湍
tmi	抟
